Datetime,TweetId,Text,geo,start,end,word,country_predicted,country_conf,admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code,ptext,target
2021-07-12 23:59:58+00:00,1414736320845451268,NWS issued a Tornado Warning for Bradford County until 8:30 PM Monday. More: https://t.co/LWjJTY1IwP.,"[{'word': 'Bradford', 'spans': [{'start': 33, 'end': 41}], 'country_predicted': 'USA', 'country_conf': 0.9048774, 'geo': {'admin1': 'Pennsylvania', 'lat': '41.9559', 'lon': '-78.64392', 'country_code3': 'USA', 'geonameid': '5181407', 'place_name': 'Bradford', 'feature_class': 'P', 'feature_code': 'PPL'}}]",33.0,41.0,Bradford,USA,0.9048774,Pennsylvania,41.9559,-78.64392,USA,5181407,Bradford,P,PPL,nw issued tornado warning bradford county pm monday,0
2021-07-12 23:59:57+00:00,1414736318765150213,"@joonlyricst @BTS_twt @965TDY Fire 

I vote BTS (@BTS_twt) for #ArtistoftheSummer @965TDY","[{'word': '@965TDY Fire', 'spans': [{'start': 22, 'end': 34}], 'country_predicted': 'USA', 'country_conf': 0.24821267}]",22.0,34.0,@965TDY Fire,USA,0.24821267,,,,,,,,,fire vote bts artistofthesummer,1
2021-07-12 23:59:56+00:00,1414736313689903104,"Phoenix needs a stupid hiker law.

Why are people hiking in the extreme heat of the day? https://t.co/4zaffuKJAu","[{'word': 'Phoenix', 'spans': [{'start': 0, 'end': 7}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Arizona', 'lat': '33.44838', 'lon': '-112.07404', 'country_code3': 'USA', 'geonameid': '5308655', 'place_name': 'Phoenix', 'feature_class': 'P', 'feature_code': 'PPLA'}}]",0.0,7.0,Phoenix,USA,0.957188,Arizona,33.44838,-112.07404,USA,5308655,Phoenix,P,PPLA,phoenix need stupid hiker lawwhy people hiking extreme heat day,0
2021-07-12 23:59:51+00:00,1414736294584926209,I love holland lops,"[{'word': 'holland', 'spans': [{'start': 7, 'end': 14}], 'country_predicted': 'USA', 'country_conf': 0.87992215, 'geo': {'admin1': 'Michigan', 'lat': '42.78752', 'lon': '-86.10893', 'country_code3': 'USA', 'geonameid': '4996248', 'place_name': 'Holland', 'feature_class': 'P', 'feature_code': 'PPL'}}]",7.0,14.0,holland,USA,0.87992215,Michigan,42.78752,-86.10893,USA,4996248,Holland,P,PPL,love holland lops,1
2021-07-12 23:59:51+00:00,1414736292282314755,"#TikTok gets a Fire TV app in the UK, France, and Germany https://t.co/7aXmspHyg5","[{'word': 'UK', 'spans': [{'start': 34, 'end': 36}], 'country_predicted': 'GBR', 'country_conf': 0.9544747, 'geo': {'admin1': 'NA', 'lat': '54.75844', 'lon': '-2.69531', 'country_code3': 'GBR', 'geonameid': '2635167', 'place_name': 'United Kingdom of Great Britain and Northern Ireland', 'feature_class': 'A', 'feature_code': 'PCLI'}}, {'word': 'France', 'spans': [{'start': 38, 'end': 44}], 'country_predicted': 'FRA', 'country_conf': 0.953179, 'geo': {'admin1': 'Île-de-France', 'lat': '48.94956', 'lon': '2.5684', 'country_code3': 'FRA', 'geonameid': '2971874', 'place_name': 'Tremblay-en-France', 'feature_class': 'P', 'feature_code': 'PPL'}}, {'word': 'Germany', 'spans': [{'start': 50, 'end': 57}], 'country_predicted': 'DEU', 'country_conf': 0.94532996, 'geo': {'admin1': 'NA', 'lat': '51.5', 'lon': '10.5', 'country_code3': 'DEU', 'geonameid': '2921044', 'place_name': 'Federal Republic of Germany', 'feature_class': 'A', 'feature_code': 'PCLI'}}]",34.0,36.0,UK,GBR,0.9544747,NA,54.75844,-2.69531,GBR,2635167,United Kingdom of Great Britain and Northern Ireland,A,PCLI,tiktok get fire tv app uk france germany,1
2021-07-12 23:59:51+00:00,1414736292282314755,"#TikTok gets a Fire TV app in the UK, France, and Germany https://t.co/7aXmspHyg5","[{'word': 'UK', 'spans': [{'start': 34, 'end': 36}], 'country_predicted': 'GBR', 'country_conf': 0.9544747, 'geo': {'admin1': 'NA', 'lat': '54.75844', 'lon': '-2.69531', 'country_code3': 'GBR', 'geonameid': '2635167', 'place_name': 'United Kingdom of Great Britain and Northern Ireland', 'feature_class': 'A', 'feature_code': 'PCLI'}}, {'word': 'France', 'spans': [{'start': 38, 'end': 44}], 'country_predicted': 'FRA', 'country_conf': 0.953179, 'geo': {'admin1': 'Île-de-France', 'lat': '48.94956', 'lon': '2.5684', 'country_code3': 'FRA', 'geonameid': '2971874', 'place_name': 'Tremblay-en-France', 'feature_class': 'P', 'feature_code': 'PPL'}}, {'word': 'Germany', 'spans': [{'start': 50, 'end': 57}], 'country_predicted': 'DEU', 'country_conf': 0.94532996, 'geo': {'admin1': 'NA', 'lat': '51.5', 'lon': '10.5', 'country_code3': 'DEU', 'geonameid': '2921044', 'place_name': 'Federal Republic of Germany', 'feature_class': 'A', 'feature_code': 'PCLI'}}]",38.0,44.0,France,FRA,0.953179,Île-de-France,48.94956,2.5684,FRA,2971874,Tremblay-en-France,P,PPL,tiktok get fire tv app uk france germany,1
2021-07-12 23:59:51+00:00,1414736292282314755,"#TikTok gets a Fire TV app in the UK, France, and Germany https://t.co/7aXmspHyg5","[{'word': 'UK', 'spans': [{'start': 34, 'end': 36}], 'country_predicted': 'GBR', 'country_conf': 0.9544747, 'geo': {'admin1': 'NA', 'lat': '54.75844', 'lon': '-2.69531', 'country_code3': 'GBR', 'geonameid': '2635167', 'place_name': 'United Kingdom of Great Britain and Northern Ireland', 'feature_class': 'A', 'feature_code': 'PCLI'}}, {'word': 'France', 'spans': [{'start': 38, 'end': 44}], 'country_predicted': 'FRA', 'country_conf': 0.953179, 'geo': {'admin1': 'Île-de-France', 'lat': '48.94956', 'lon': '2.5684', 'country_code3': 'FRA', 'geonameid': '2971874', 'place_name': 'Tremblay-en-France', 'feature_class': 'P', 'feature_code': 'PPL'}}, {'word': 'Germany', 'spans': [{'start': 50, 'end': 57}], 'country_predicted': 'DEU', 'country_conf': 0.94532996, 'geo': {'admin1': 'NA', 'lat': '51.5', 'lon': '10.5', 'country_code3': 'DEU', 'geonameid': '2921044', 'place_name': 'Federal Republic of Germany', 'feature_class': 'A', 'feature_code': 'PCLI'}}]",50.0,57.0,Germany,DEU,0.94532996,NA,51.5,10.5,DEU,2921044,Federal Republic of Germany,A,PCLI,tiktok get fire tv app uk france germany,1
2021-07-12 23:59:51+00:00,1414736292240297986,"@_soulhashira_ mha, fire force, tokyo revengers, saiki k, and dr. stone are 10/10's","[{'word': 'tokyo', 'spans': [{'start': 32, 'end': 37}], 'country_predicted': 'JPN', 'country_conf': 0.957188, 'geo': {'admin1': 'Tokyo', 'lat': '35.6895', 'lon': '139.69171', 'country_code3': 'JPN', 'geonameid': '1850144', 'place_name': 'Tokyo Prefecture', 'feature_class': 'A', 'feature_code': 'ADM1'}}]",32.0,37.0,tokyo,JPN,0.957188,Tokyo,35.6895,139.69171,JPN,1850144,Tokyo Prefecture,A,ADM1,mha fire force tokyo revengers saiki k dr stone,1
2021-07-12 23:59:48+00:00,1414736278990458881,"@Chinaembmanila @ChineseEmbinUS ✌ Horrific TORNADO Hits #China today😁 Instant BAD #KARMA! You Destroy the Environment. Mother Nature will come after You! 💪👍✌😎

#MilkTeaAlliance #LunaPH #สมูทอีออกมาชี้แจงด้วยค่ะ #stephenasmith #saveน็อตวรฤทธิ์ https://t.co/TCDXovulec","[{'word': 'China', 'spans': [{'start': 57, 'end': 62}], 'country_predicted': 'CHN', 'country_conf': 0.68758196, 'geo': {'admin1': 'NA', 'lat': '35', 'lon': '105', 'country_code3': 'CHN', 'geonameid': '1814991', 'place_name': 'People’s Republic of China', 'feature_class': 'A', 'feature_code': 'PCLI'}}]",57.0,62.0,China,CHN,0.68758196,NA,35,105,CHN,1814991,People’s Republic of China,A,PCLI,✌ horrific tornado hit china today😁 instant bad karma destroy environment mother nature come 💪👍✌😎milkteaalliance lunaph สมูทอีออกมาชี้แจงด้วยค่ะ stephenasmith saveน็อตวรฤทธิ์,0
2021-07-12 23:59:46+00:00,1414736270417350660,"Man booted for being too drunk slams truck into bar and opens fire, Georgia cops say https://t.co/5nY1J6zgod via @YahooNews","[{'word': 'Georgia', 'spans': [{'start': 68, 'end': 75}], 'country_predicted': 'GEO', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '41.99998', 'lon': '43.4999', 'country_code3': 'GEO', 'geonameid': '614540', 'place_name': 'Georgia', 'feature_class': 'A', 'feature_code': 'PCLI'}}]",68.0,75.0,Georgia,GEO,0.9516948,NA,41.99998,43.4999,GEO,614540,Georgia,A,PCLI,man booted drunk slam truck bar open fire georgia cop say via,0
